sexo,edad,enfermedades_cronicas,si_o_no,total,ano,edad_cat,linea
Hombres,De 15 a 24 años,Artrosis,Sí,0.07,2014,15-24,H2014
Hombres,De 25 a 34 años,Artrosis,Sí,0.66,2014,25-34,H2014
Hombres,De 35 a 44 años,Artrosis,Sí,2.07,2014,35-44,H2014
Hombres,De 45 a 54 años,Artrosis,Sí,6.97,2014,45-54,H2014
Hombres,De 55 a 64 años,Artrosis,Sí,17.64,2014,55-64,H2014
Hombres,De 65 a 74 años,Artrosis,Sí,27.94,2014,65-74,H2014
Hombres,De 75 a 84 años,Artrosis,Sí,36.4,2014,75-84,H2014
Hombres,De 85 y más años,Artrosis,Sí,41.52,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Artrosis,Sí,0.37,2014,15-24,M2014
Mujeres,De 25 a 34 años,Artrosis,Sí,0.92,2014,25-34,M2014
Mujeres,De 35 a 44 años,Artrosis,Sí,4.59,2014,35-44,M2014
Mujeres,De 45 a 54 años,Artrosis,Sí,14.42,2014,45-54,M2014
Mujeres,De 55 a 64 años,Artrosis,Sí,35.37,2014,55-64,M2014
Mujeres,De 65 a 74 años,Artrosis,Sí,53.19,2014,65-74,M2014
Mujeres,De 75 a 84 años,Artrosis,Sí,62.63,2014,75-84,M2014
Mujeres,De 85 y más años,Artrosis,Sí,65.63,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Artrosis,Sí,0.36,2020,15-24,H2020
Hombres,De 25 a 34 años,Artrosis,Sí,0.55,2020,25-34,H2020
Hombres,De 35 a 44 años,Artrosis,Sí,2.38,2020,35-44,H2020
Hombres,De 45 a 54 años,Artrosis,Sí,5.36,2020,45-54,H2020
Hombres,De 55 a 64 años,Artrosis,Sí,12.54,2020,55-64,H2020
Hombres,De 65 a 74 años,Artrosis,Sí,19.67,2020,65-74,H2020
Hombres,De 75 a 84 años,Artrosis,Sí,31.44,2020,75-84,H2020
Hombres,De 85 y más años,Artrosis,Sí,35.19,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Artrosis,Sí,0.15,2020,15-24,M2020
Mujeres,De 25 a 34 años,Artrosis,Sí,1.53,2020,25-34,M2020
Mujeres,De 35 a 44 años,Artrosis,Sí,2.94,2020,35-44,M2020
Mujeres,De 45 a 54 años,Artrosis,Sí,12.11,2020,45-54,M2020
Mujeres,De 55 a 64 años,Artrosis,Sí,27.96,2020,55-64,M2020
Mujeres,De 65 a 74 años,Artrosis,Sí,41.78,2020,65-74,M2020
Mujeres,De 75 a 84 años,Artrosis,Sí,56.25,2020,75-84,M2020
Mujeres,De 85 y más años,Artrosis,Sí,67.38,2020,85 y más años,M2020
Hombres,De 15 a 24 años,Bronquitis crónica (EPOC),Sí,0.23,2014,15-24,H2014
Hombres,De 25 a 34 años,Bronquitis crónica (EPOC),Sí,1.39,2014,25-34,H2014
Hombres,De 35 a 44 años,Bronquitis crónica (EPOC),Sí,1.21,2014,35-44,H2014
Hombres,De 45 a 54 años,Bronquitis crónica (EPOC),Sí,1.87,2014,45-54,H2014
Hombres,De 55 a 64 años,Bronquitis crónica (EPOC),Sí,4.34,2014,55-64,H2014
Hombres,De 65 a 74 años,Bronquitis crónica (EPOC),Sí,7.64,2014,65-74,H2014
Hombres,De 75 a 84 años,Bronquitis crónica (EPOC),Sí,14.62,2014,75-84,H2014
Hombres,De 85 y más años,Bronquitis crónica (EPOC),Sí,14.04,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Bronquitis crónica (EPOC),Sí,0.86,2014,15-24,M2014
Mujeres,De 25 a 34 años,Bronquitis crónica (EPOC),Sí,0.98,2014,25-34,M2014
Mujeres,De 35 a 44 años,Bronquitis crónica (EPOC),Sí,1.16,2014,35-44,M2014
Mujeres,De 45 a 54 años,Bronquitis crónica (EPOC),Sí,2.16,2014,45-54,M2014
Mujeres,De 55 a 64 años,Bronquitis crónica (EPOC),Sí,4.14,2014,55-64,M2014
Mujeres,De 65 a 74 años,Bronquitis crónica (EPOC),Sí,5.67,2014,65-74,M2014
Mujeres,De 75 a 84 años,Bronquitis crónica (EPOC),Sí,6.7,2014,75-84,M2014
Mujeres,De 85 y más años,Bronquitis crónica (EPOC),Sí,10.44,2014,85 y más años,M2014
